Serial,Word
249,কানের নিচে
250,মুশরিক
251,কাফির 
252,কাউলা 
253,কালা ধন
254,কালাচান 
255,কালা মিয়া
256,কালো ধন
257,কুকুর লীগ
258,কুত্তা লীগ
259,কুত্তা দিয়া
260,কুত্তার দল
261,কুয়োর ব্যাঙ
262,কুলাঙ্গার
263,কুলিগিরি
264,চ্যাটের বাল 
265,খাই দিছে
266,খাইয়া দিবো
267,খাইয়া দিলো
268,খাইয়া দে
269,খাট যোদ্ধা
270,খাড়া বাড়া
271,খানকি
272,খানকি প্রো
273,খানকি মাগি
274,খানকি মাগী
275,খানকির ছেলে
276,খানকির পুত
277,খানকির পুতেরা
278,খানকির পোলা
279,খানকির মাইয়া
280,খাম্বা চোর
281,গাঁজাখোর 
282,মদখোর 
283,আফিমখোর  
284,ডেন্ডিখোর 
285,বেইমান
286,গাদ্দার 
287,গরুচোদা 
288,গন্ড মূর্খ
289,গন্ডারের চামড়া
290,গরম মাল
291,গরম রড
292,গরু চোর
293,গরুর গু
294,গরুর চনা
295,গরুর চুনা
296,গরুর পেশাব
297,গরুর মুতখোর
298,গাধা
299,গাধা গাধা
300,গাধা জল
301,গান্ডু চোদা
302,গান্ডু ভক্ত
303,গান্ডু মার্কা
304,গান্ডুর দল
305,গায়ে গন্ধ
306,গিটার মারা
307,গু খা
308,গু
309,গু মুত
310,গুটিখোর 
311,হেরোইনখোর 
312,নেশাখোর 
313,গুটখাখোর
314,গুয়া মারা
315,গো মুত
316,গো মূত্র
317,গো মূত্রের
318,গোপনাঙ্গ নিস্তেজ
319,গোবর খা
320,গোবর ভক্ত
321,গোয়া মারা
322,ঘন্টা কাস্টমার
323,ঘরের মাগী
324,ঘাড় ধাক্কা
325,চটি পত্রিকা
326,চটি মিডিয়া
327,চটি সেক্স
328,চাইনিজ মাল
329,চাটা অন্ধ
330,চাটা কুকুর
331,চাটা কুত্তা
332,চাটা গোলাম
333,চাটা বাজারি
334,চাটা ভক্ত
335,চাটা মাল
336,চাটা মিডিয়া
337,চাটা মিডিয়া
338,চাটার দল
339,চামচাগিরি
340,চামচামি
341,চালকুমড়া দুটো
342,চালাক চোদা 
343,চিনের দালাল
344,চুতিয়া শালা
345,চুদতে চাই
346,চুদলাম না
347,চুদা খাইয়া
348,চুদানির পুত
349,চুদার টাইম নাই 
350,চুদি না
351,চুদির বুইন
352,চুদির ভাই
353,চুদে চাটনি
354,চুদে যাবে
355,চুদে লাল
356,চুলকানি বেশি
357,চুলকায় কেন
358,চেতনা ব্যবসায়ী
359,চোদাও কেন
360,চোদে চোদে
361,চোর সরকার
362,ছাগল চোদা
363,ছাগল লীগ
364,ধুর সালা
365,ধুর হালা
366,ধোন চাটা
367,নটি সালি
368,নপুংসক
369,নব্য রাজাকার
370,নরপশু কুলাঙ্গার
371,বেশরম 
372,নর্দমার কীট
373,নষ্ট ছেলে
374,নষ্ট নারী
375,নষ্ট মহিলা
376,নষ্ট মেয়ে
377,নষ্টা নারী
378,নষ্টা মহিলা
379,নষ্টা মেয়ে
380,নাই শরম
381,নানির পুটকি
382,নানির হেডা
383,নাপাক
384,নারীবাদি
385,নাস্তিক
386,মুরতাদ
387,নাস্তিকের বাচ্চা
388,নিকৃষ্ট জাতি
389,নিকৃষ্ট প্রাণী
390,নিকৃষ্টতম শুক্রাণু
391,নিচু জাত
392,নিচু মানসিকতা
393,নিচু মানের
394,নিচু সম্প্রদায়ের
395,নিজের পাছায়
396,নিজের বোনকে
397,নিজের মাকে
398,নিজের মেয়েকে
399,নিজের হোগায়
400,নির্লজ্জ বেহায়া
401,নীচু মনের
402,নুনু ছোট
403,নুনু নাই
404,নুনু পূজা
405,নেড়ি কুত্তা
406,নেতা চোর
407,নেতাদের বিচি
408,পতিতা মহিলা
409,পতিতালয় মাগি
410,পতিতালয়ের মেয়ে
411,পরকিয়া 
412,পরকীয়ায় আসক্ত
413,পর্দাহীন মেয়ে
414,পর্ন ষ্টার
415,পশু চোদে
416,পশুপুজা লিঙ্গ
417,পা চাঁটা
418,পাকি এজেন্ট
419,পাকি দালাল
420,পাকি বীজ
421,পাকি রাজাকার
422,পাকিস্তানের হিজড়া
423,পাখি চোদে
424,পাগল ছাগল
425,পাগলা গারদ
426,পাগলা চোদা
427,পাগলের প্রলাপ
428,পাছা দেখিয়ে
429,পাছা বড়
430,পাছা লাল
431,পাছায় লাঠি
432,পাছায় আগুন
433,পাছায় বাঁশ
434,পাছায় লাথি
435,পাছার ছাল
436,পাছার মধ্যে
437,পাট ক্ষেতে
438,পাটহ্মেতে চল
439,পাড়ার কাকিমা
440,পাতলা বীর্য
441,পাত্রেই হাগে
442,পাদ দিতে
443,পাদের গন্ধ
444,পায়ু ফাটিয়ে
445,পায়ু যোদ্ধা
446,পায়ু সৈনিক
447,পায়ুকামী মূর্খ
448,পায়ুপথ মেরামতি
449,পায়খানা করা
450,পায়ু কমান্ডার
451,পায়ু পথে
452,পায়ু যোদ্ধা
453,পায়ু সেনা
454,পুটকি মাইরা
455,পুটকি মার
456,পুটকি মারা
457,পুটকি মেরে
458,পুটকি সই
459,পুটকির মত
460,পুটকির মধ্যে
461,পুটু মারা
462,পুন মারি
463,পুরাই পাগল
464,পুরাই সেক্সি
465,পুরাই হট
466,পুরুষ বেশ্যা
467,পুরো চটিচাটা
468,পুরো লেংটা
469,পেন্টি টা
470,পেন্টি পরে
471,পেন্টি ব্রা
472,পোঁদ মারা
473,পোঁদে ছাপ
474,পোঁদে পায়রা
475,পোদ নির্মান
476,পোদে লাথি
477,পোষা কুকুর
478,পোষা কুত্তা
479,প্যান্ট খুলে
480,প্রতিবন্ধী
481,ফকিন্নির বাচ্চা
482,ফাউল কথা
483,ফাউলের
484,ফাক ইউ
485,ফাজিল মহিলা
486,ফাটছে কেনো
487,ফালতু কমেন্ট
488,ফালতু কাজ
489,ফালতু কোথাকার
490,ফালতু খবর
491,ফালতু গল্প
492,ফালতু গিরি
493,ফালতু চ্যানেল
494,ফালতু জিনিস
495,ফালতু নারী
496,ফালতু নিউজ
497,ফালতু পোস্ট
498,ফালতু বিষয়
499,ফালতু বেডি
500,ফালতু মন্তব্য
501,ফালতু মহিলা
502,ফালতু মানুষ
